r,real,imag
13.1985,0.0019113,0.00196597
13.4422,0.0020928,0.0029189
13.6859,0.00213708,0.00416953
13.9296,0.00194991,0.00576559
14.1734,0.0014056,0.00774617
14.4171,0.000342456,0.0101331
14.6608,-0.00144062,0.0129198
14.9045,-0.00418549,0.0160567
15.1482,-0.008173,0.0194351
15.392,-0.013717,0.0228674
15.6357,-0.0211529,0.0260663
15.8794,-0.0308193,0.0286236
16.1231,-0.043032,0.0299896
16.3668,-0.0580491,0.0294561
16.6106,-0.0760276,0.0261456
16.8543,-0.096971,0.0190088
17.098,-0.12067,0.00683529
17.3417,-0.146638,-0.0117212
17.5854,-0.174044,-0.0380978
17.8291,-0.201652,-0.0737568
18.0729,-0.227765,-0.120098
18.3166,-0.250188,-0.178345
18.5603,-0.266211,-0.249418
18.804,-0.272628,-0.333781
19.0477,-0.265788,-0.431286
19.2915,-0.24169,-0.541009
19.5352,-0.196132,-0.661106
19.7789,-0.124903,-0.788678
20.0226,-0.0240179,-0.919689
20.2663,0.109996,-1.04892
20.5101,0.279795,-1.17001
20.7538,0.486897,-1.27554
20.9975,0.731365,-1.35724
21.2412,1.01152,-1.40627
21.4849,1.3237,-1.41357
21.7286,1.66211,-1.37031
21.9724,2.01875,-1.26841
22.2161,2.38352,-1.10103
22.4598,2.74434,-0.863159
22.7035,3.08755,-0.552098
22.9472,3.39838,-0.167931
23.191,3.66149,0.286138
23.4347,3.86172,0.803571
23.6784,3.98484,1.37445
23.9221,4.01832,1.98559
24.1658,3.95213,2.62093
24.4095,3.77939,3.26197
24.6533,3.49699,3.88852
24.897,3.10601,4.47952
25.1407,2.61189,5.01394
25.3844,2.02447,5.47183
25.6281,1.35773,5.83526
25.8719,0.629304,6.08923
26.1156,-0.140192,6.22248
26.3593,-0.928023,6.22808
26.603,-1.71034,6.10387
26.8467,-2.46322,5.85259
27.0905,-3.16381,5.48181
27.3342,-3.79127,5.00356
27.5779,-4.32775,4.43375
27.8216,-4.75914,3.79146
28.0653,-5.0756,3.09796
28.309,-5.27187,2.37571
28.5528,-5.34738,1.64739
28.7965,-5.30604,0.934797
29.0402,-5.15588,0.258011
29.2839,-4.90845,-0.365439
29.5276,-4.57813,-0.921168
29.7714,-4.18129,-1.39835
30.0151,-3.73541,-1.78993
30.2588,-3.25828,-2.09261
30.5025,-2.76714,-2.3067
30.7462,-2.27805,-2.43571
30.9899,-1.80524,-2.48592
31.2337,-1.36075,-2.46581
31.4774,-0.954112,-2.38543
31.7211,-0.592262,-2.25575
31.9648,-0.279553,-2.08814
32.2085,-0.0179083,-1.89374
32.4523,0.192925,-1.68308
32.696,0.35505,-1.46566
32.9397,0.472055,-1.2497
33.1834,0.548617,-1.04201
33.4271,0.590126,-0.847873
33.6709,0.602324,-0.671128
33.9146,0.590993,-0.514207
34.1583,0.561693,-0.378306
34.402,0.519558,-0.263561
34.6457,0.46915,-0.169244
34.8894,0.414371,-0.0939715
35.1332,0.358426,-0.0359025
35.3769,0.303824,0.00708336
35.6206,0.252421,0.037227
35.8643,0.205483,0.0567608
36.108,0.163763,0.0678078
36.3518,0.12759,0.0723095
36.5955,0.096959,0.0719798
36.8392,0.0716139,0.0682814
37.0829,0.0511271,0.062421
37.3266,0.0349647,0.055359
37.5704,0.0225422,0.04783
37.8141,0.0132678,0.0403692
38.0578,0.00657433,0.0333427
38.3015,0.00194137,0.0269782
38.5452,-0.00109174,0.0213952
38.7889,-0.00291972,0.0166315
39.0327,-0.0038707,0.012667
39.2764,-0.00420955,0.00944351
39.5201,-0.0041437,0.00688047
39.7638,-0.00383047,0.004887
40.0075,-0.00338499,0.00337082
40.2513,-0.00288802,0.00224423
40.495,-0.00239319,0.00142785
40.7387,-0.00193348,0.000852519
40.9824,-0.00152674,0.000459993
41.2261,-0.00118016,0.000202601
41.4698,-0.000893874,4.24058e-05
41.7136,-0.00066367,-4.9996e-05
41.9573,-0.000483002,-9.67895e-05
42.201,-0.000344383,-0.000114255
42.4447,-0.000240311,-0.000113984
42.6884,-0.000163827,-0.000103956
42.9322,-0.00010882,-8.94408e-05
43.1759,-7.01344e-05,-7.37435e-05
43.4196,-4.357e-05,-5.87867e-05
43.6633,-2.5803e-05,-4.55586e-05
43.907,-1.42731e-05,-3.44441e-05
44.1508,-7.05727e-06,-2.54624e-05
44.3945,-2.7464e-06,-1.84312e-05
44.6382,-3.33141e-07,-1.30749e-05
44.8819,8.84421e-07,-9.09274e-06
45.1256,1.38207e-06,-6.19828e-06
45.3693,1.47254e-06,-4.13907e-06
45.6131,1.35414e-06,-2.7045e-06
45.8568,1.14709e-06,-1.72586e-06
46.1005,9.19971e-07,-1.07251e-06
46.3442,7.08452e-07,-6.46139e-07
46.5879,5.2812e-07,-3.74691e-07
46.8317,3.83021e-07,-2.06618e-07
47.0754,2.71135e-07,-1.05897e-07
47.3191,1.87731e-07,-4.79372e-08
47.5628,1.27307e-07,-1.63426e-08
47.8065,8.1298e-08,-4.34686e-10
48.0503,4.69851e-08,5.52114e-09
48.294,2.45699e-08,5.994e-09
48.5377,1.16175e-08,4.3939e-09
48.7814,4.96061e-09,2.60708e-09
49.0251,1.90898e-09,1.32337e-09
49.2688,6.60029e-10,5.88836e-10
49.5126,2.04049e-10,2.32617e-10
49.7563,5.59705e-11,8.21995e-11
50,1.00781e-12,-4.76146e-13
