r,real,imag
1.5,1.00781e-12,4.76146e-13
1.74372,3.9386e-12,1.61611e-12
1.98744,1.15709e-11,6.65766e-12
2.23116,3.06024e-11,2.33345e-11
2.47487,7.25682e-11,7.16234e-11
2.71859,1.53289e-10,1.95251e-10
2.96231,2.85308e-10,4.76383e-10
3.20603,4.58687e-10,1.04498e-09
3.44975,6.10593e-10,2.06647e-09
3.69347,5.97114e-10,3.68976e-09
3.93719,1.95755e-10,5.95319e-09
4.1809,-8.65706e-10,9.03463e-09
4.42462,-3.06872e-09,1.34167e-08
4.66834,-7.22349e-09,1.94744e-08
4.91206,-1.45885e-08,2.75766e-08
5.15578,-2.70637e-08,3.79803e-08
5.3995,-4.7439e-08,5.06373e-08
5.64322,-7.9698e-08,6.48602e-08
5.88693,-1.29365e-07,7.87823e-08
6.13065,-2.0386e-07,8.85181e-08
6.37437,-3.12788e-07,8.69103e-08
6.61809,-4.68036e-07,6.17225e-08
6.86181,-6.83469e-07,-6.87693e-09
7.10553,-9.73899e-07,-1.497e-07
7.34925,-1.35284e-06,-4.12914e-07
7.59296,-1.82841e-06,-8.63468e-07
7.83668,-2.39636e-06,-1.59543e-06
8.0804,-3.02926e-06,-2.7369e-06
8.32412,-3.66007e-06,-4.4566e-06
8.56784,-4.15865e-06,-6.96878e-06
8.81156,-4.29919e-06,-1.0534e-05
9.05528,-3.71666e-06,-1.54525e-05
9.29899,-1.85095e-06,-2.20442e-05
9.54271,2.1221e-06,-3.061e-05
9.78643,9.37169e-06,-4.13637e-05
10.0302,2.15015e-05,-5.43236e-05
10.2739,4.06401e-05,-6.91511e-05
10.5176,6.95195e-05,-8.49203e-05
10.7613,0.000111522,-9.98021e-05
11.005,0.000170663,-0.000110651
11.2487,0.000251479,-0.000112478
11.4925,0.000358753,-9.7817e-05
11.7362,0.000497025,-5.59815e-05
11.9799,0.000669805,2.77487e-05
12.2236,0.0008784,0.00017296
12.4673,0.00112026,0.000404863
12.7111,0.00138679,0.000754854
12.9548,0.00166045,0.00126068
