rStar,theta,re,im
0,0,0,0
0,0.0175508,3.18416e-177,0
0,0.0351016,6.36733e-177,0
0,0.0526524,9.54855e-177,0
0,0.0702032,1.27268e-176,0
0,0.087754,1.59012e-176,0
0,0.105305,1.90706e-176,0
0,0.122856,2.22342e-176,0
0,0.140406,2.53909e-176,0
0,0.157957,2.85399e-176,0
0,0.175508,3.168e-176,0
0,0.193059,3.48103e-176,0
0,0.21061,3.793e-176,0
0,0.22816,4.10379e-176,0
0,0.245711,4.41333e-176,0
0,0.263262,4.7215e-176,0
0,0.280813,5.02822e-176,0
0,0.298364,5.33338e-176,0
0,0.315914,5.63691e-176,0
0,0.333465,5.9387e-176,0
0,0.351016,6.23866e-176,0
0,0.368567,6.5367e-176,0
0,0.386118,6.83273e-176,0
0,0.403668,7.12665e-176,0
0,0.421219,7.41837e-176,0
0,0.43877,7.70781e-176,0
0,0.456321,7.99488e-176,0
0,0.473872,8.27948e-176,0
0,0.491422,8.56154e-176,0
0,0.508973,8.84096e-176,0
0,0.526524,9.11765e-176,0
0,0.544075,9.39153e-176,0
0,0.561626,9.66253e-176,0
0,0.579176,9.93054e-176,0
0,0.596727,1.01955e-175,0
0,0.614278,1.04573e-175,0
0,0.631829,1.07159e-175,0
0,0.649379,1.09712e-175,0
0,0.66693,1.12231e-175,0
0,0.684481,1.14716e-175,0
0,0.702032,1.17165e-175,0
0,0.719583,1.19578e-175,0
0,0.737133,1.21955e-175,0
0,0.754684,1.24293e-175,0
0,0.772235,1.26594e-175,0
0,0.789786,1.28855e-175,0
0,0.807337,1.31077e-175,0
0,0.824887,1.33258e-175,0
0,0.842438,1.35399e-175,0
0,0.859989,1.37498e-175,0
0,0.87754,1.39554e-175,0
0,0.895091,1.41567e-175,0
0,0.912641,1.43537e-175,0
0,0.930192,1.45462e-175,0
0,0.947743,1.47343e-175,0
0,0.965294,1.49178e-175,0
0,0.982845,1.50968e-175,0
0,1.0004,1.52711e-175,0
0,1.01795,1.54406e-175,0
0,1.0355,1.56055e-175,0
0,1.05305,1.57655e-175,0
0,1.0706,1.59207e-175,0
0,1.08815,1.60709e-175,0
0,1.1057,1.62162e-175,0
0,1.12325,1.63565e-175,0
0,1.1408,1.64918e-175,0
0,1.15835,1.6622e-175,0
0,1.1759,1.67471e-175,0
0,1.19345,1.6867e-175,0
0,1.211,1.69817e-175,0
0,1.22856,1.70912e-175,0
0,1.24611,1.71955e-175,0
0,1.26366,1.72944e-175,0
0,1.28121,1.7388e-175,0
0,1.29876,1.74762e-175,0
0,1.31631,1.75591e-175,0
0,1.33386,1.76366e-175,0
0,1.35141,1.77086e-175,0
0,1.36896,1.77751e-175,0
0,1.38651,1.78362e-175,0
0,1.40406,1.78918e-175,0
0,1.42161,1.79419e-175,0
0,1.43917,1.79865e-175,0
0,1.45672,1.80255e-175,0
0,1.47427,1.8059e-175,0
0,1.49182,1.80869e-175,0
0,1.50937,1.81092e-175,0
0,1.52692,1.8126e-175,0
0,1.54447,1.81372e-175,0
0,1.56202,1.81428e-175,0
0,1.57957,1.81428e-175,0
0,1.59712,1.81372e-175,0
0,1.61467,1.8126e-175,0
0,1.63222,1.81092e-175,0
0,1.64977,1.80869e-175,0
0,1.66733,1.8059e-175,0
0,1.68488,1.80255e-175,0
0,1.70243,1.79865e-175,0
0,1.71998,1.79419e-175,0
0,1.73753,1.78918e-175,0
0,1.75508,1.78362e-175,0
0,1.77263,1.77751e-175,0
0,1.79018,1.77086e-175,0
0,1.80773,1.76366e-175,0
0,1.82528,1.75591e-175,0
0,1.84283,1.74762e-175,0
0,1.86038,1.7388e-175,0
0,1.87794,1.72944e-175,0
0,1.89549,1.71955e-175,0
0,1.91304,1.70912e-175,0
0,1.93059,1.69817e-175,0
0,1.94814,1.6867e-175,0
0,1.96569,1.67471e-175,0
0,1.98324,1.6622e-175,0
0,2.00079,1.64918e-175,0
0,2.01834,1.63565e-175,0
0,2.03589,1.62162e-175,0
0,2.05344,1.60709e-175,0
0,2.07099,1.59207e-175,0
0,2.08854,1.57655e-175,0
0,2.1061,1.56055e-175,0
0,2.12365,1.54406e-175,0
0,2.1412,1.52711e-175,0
0,2.15875,1.50968e-175,0
0,2.1763,1.49178e-175,0
0,2.19385,1.47343e-175,0
0,2.2114,1.45462e-175,0
0,2.22895,1.43537e-175,0
0,2.2465,1.41567e-175,0
0,2.26405,1.39554e-175,0
0,2.2816,1.37498e-175,0
0,2.29915,1.35399e-175,0
0,2.31671,1.33258e-175,0
0,2.33426,1.31077e-175,0
0,2.35181,1.28855e-175,0
0,2.36936,1.26594e-175,0
0,2.38691,1.24293e-175,0
0,2.40446,1.21955e-175,0
0,2.42201,1.19578e-175,0
0,2.43956,1.17165e-175,0
0,2.45711,1.14716e-175,0
0,2.47466,1.12231e-175,0
0,2.49221,1.09712e-175,0
0,2.50976,1.07159e-175,0
0,2.52731,1.04573e-175,0
0,2.54487,1.01955e-175,0
0,2.56242,9.93054e-176,0
0,2.57997,9.66253e-176,0
0,2.59752,9.39153e-176,0
0,2.61507,9.11765e-176,0
0,2.63262,8.84096e-176,0
0,2.65017,8.56154e-176,0
0,2.66772,8.27948e-176,0
0,2.68527,7.99488e-176,0
0,2.70282,7.70781e-176,0
0,2.72037,7.41837e-176,0
0,2.73792,7.12665e-176,0
0,2.75548,6.83273e-176,0
0,2.77303,6.5367e-176,0
0,2.79058,6.23866e-176,0
0,2.80813,5.9387e-176,0
0,2.82568,5.63691e-176,0
0,2.84323,5.33338e-176,0
0,2.86078,5.02822e-176,0
0,2.87833,4.7215e-176,0
0,2.89588,4.41333e-176,0
0,2.91343,4.10379e-176,0
0,2.93098,3.793e-176,0
0,2.94853,3.48103e-176,0
0,2.96608,3.168e-176,0
0,2.98364,2.85399e-176,0
0,3.00119,2.53909e-176,0
0,3.01874,2.22342e-176,0
0,3.03629,1.90706e-176,0
0,3.05384,1.59012e-176,0
0,3.07139,1.27268e-176,0
0,3.08894,9.54855e-177,0
0,3.10649,6.36733e-177,0
0,3.12404,3.18416e-177,0
0,3.14159,2.22193e-191,0
-2.35375,0,0,0
-2.35375,0.0175508,6.5592e-18,3.62438e-20
-2.35375,0.0351016,2.14944e-18,1.18771e-20
-2.35375,0.0526524,5.93501e-19,3.27948e-21
-2.35375,0.0702032,1.55273e-19,8.57983e-22
-2.35375,0.087754,3.96551e-20,2.1912e-22
-2.35375,0.105305,9.99775e-21,5.5244e-23
-2.35375,0.122856,2.50123e-21,1.38209e-23
-2.35375,0.140406,6.22645e-22,3.44051e-24
-2.35375,0.157957,1.54471e-22,8.53549e-25
-2.35375,0.175508,3.82291e-23,2.1124e-25
-2.35375,0.193059,9.44409e-24,5.21847e-26
-2.35375,0.21061,2.32987e-24,1.2874e-26
-2.35375,0.22816,5.74172e-25,3.17267e-27
-2.35375,0.245711,1.41379e-25,7.81211e-28
-2.35375,0.263262,3.47883e-26,1.92228e-28
-2.35375,0.280813,8.55536e-27,4.72739e-29
-2.35375,0.298364,2.10302e-27,1.16205e-29
-2.35375,0.315914,5.16749e-28,2.85538e-30
-2.35375,0.333465,1.26934e-28,7.01381e-31
-2.35375,0.351016,3.11703e-29,1.72243e-31
-2.35375,0.368567,7.65305e-30,4.2283e-32
-2.35375,0.386118,1.87819e-30,1.03819e-32
-2.35375,0.403668,4.61156e-31,2.54567e-33
-2.35375,0.421219,1.13005e-31,6.26107e-34
-2.35375,0.43877,2.78245e-32,1.5266e-34
-2.35375,0.456321,6.76174e-33,3.80432e-35
-2.35375,0.473872,1.698e-33,8.97255e-36
-2.35375,0.491422,3.92924e-34,2.4092e-36
-2.35375,0.508973,1.09867e-34,4.74209e-37
-2.35375,0.526524,1.94817e-35,1.78827e-37
-2.35375,0.544075,8.73044e-36,1.17406e-38
-2.35375,0.561626,1.34336e-37,1.86119e-38
-2.35375,0.579176,1.0049e-36,-2.77162e-39
-2.35375,0.596727,-2.01716e-37,2.56062e-39
-2.35375,0.614278,1.46307e-37,-7.22061e-40
-2.35375,0.631829,-4.47914e-38,3.50136e-40
-2.35375,0.649379,2.0174e-38,-1.05745e-40
-2.35375,0.66693,-6.25125e-39,3.8258e-41
-2.35375,0.684481,2.1761e-39,-1.01978e-41
-2.35375,0.702032,-5.84474e-40,2.84588e-42
-2.35375,0.719583,1.58225e-40,-5.78191e-43
-2.35375,0.737133,-3.22163e-41,1.14812e-43
-2.35375,0.754684,6.17534e-42,-1.27499e-44
-2.35375,0.772235,-7.02093e-43,1.55391e-45
-2.35375,0.789786,8.79013e-44,-4.45867e-47
-2.35375,0.807337,-1.65911e-44,2.28263e-46
-2.35375,0.824887,2.44523e-44,-2.25406e-46
-2.35375,0.842438,-2.72562e-44,2.89445e-46
-2.35375,0.859989,2.96393e-44,-3.19109e-46
-2.35375,0.87754,-3.36614e-44,3.79952e-46
-2.35375,0.895091,3.53089e-44,-4.06507e-46
-2.35375,0.912641,-3.81708e-44,4.50404e-46
-2.35375,0.930192,3.76883e-44,-4.52834e-46
-2.35375,0.947743,-3.78268e-44,4.62033e-46
-2.35375,0.965294,3.39945e-44,-4.24875e-46
-2.35375,0.982845,-3.05815e-44,3.89624e-46
-2.35375,1.0004,2.31289e-44,-3.09244e-46
-2.35375,1.01795,-1.64792e-44,2.33287e-46
-2.35375,1.0355,6.3149e-45,-1.20135e-46
-2.35375,1.05305,2.15754e-45,2.01061e-47
-2.35375,1.0706,-1.32259e-44,1.0485e-46
-2.35375,1.08815,2.14896e-44,-2.05244e-46
-2.35375,1.1057,-3.13674e-44,3.17818e-46
-2.35375,1.12325,3.74387e-44,-3.95572e-46
-2.35375,1.1408,-4.43855e-44,4.75742e-46
-2.35375,1.15835,4.68857e-44,-5.14828e-46
-2.35375,1.1759,-4.99486e-44,5.51491e-46
-2.35375,1.19345,4.8396e-44,-5.45928e-46
-2.35375,1.211,-4.75624e-44,5.3839e-46
-2.35375,1.22856,4.24024e-44,-4.92391e-46
-2.35375,1.24611,-3.85272e-44,4.49452e-46
-2.35375,1.26366,3.09741e-44,-3.75669e-46
-2.35375,1.28121,-2.55478e-44,3.13161e-46
-2.35375,1.29876,1.72848e-44,-2.29548e-46
-2.35375,1.31631,-1.20691e-44,1.66529e-46
-2.35375,1.33386,4.82657e-45,-9.18809e-47
-2.35375,1.35141,-1.3905e-45,4.56391e-47
-2.35375,1.36896,-3.53179e-45,5.64329e-48
-2.35375,1.38651,4.26284e-45,-2.46184e-47
-2.35375,1.40406,-6.37152e-45,4.68084e-47
-2.35375,1.42161,4.36682e-45,-3.77737e-47
-2.35375,1.43917,-4.06076e-45,3.4951e-47
-2.35375,1.45672,8.38248e-47,-5.95622e-48
-2.35375,1.47427,1.62898e-45,-1.10158e-47
-2.35375,1.49182,-6.45558e-45,4.78909e-47
-2.35375,1.50937,8.4902e-45,-6.72554e-47
-2.35375,1.52692,-1.32429e-44,1.02118e-46
-2.35375,1.54447,1.49455e-44,-1.16906e-46
-2.35375,1.56202,-1.92894e-44,1.46422e-46
-2.35375,1.57957,2.06595e-44,-1.56955e-46
-2.35375,1.59712,-2.48802e-44,1.8472e-46
-2.35375,1.61467,2.64179e-44,-1.96921e-46
-2.35375,1.63222,-3.11181e-44,2.30092e-46
-2.35375,1.64977,3.3423e-44,-2.51033e-46
-2.35375,1.66733,-3.90862e-44,2.95504e-46
-2.35375,1.68488,4.24489e-44,-3.28906e-46
-2.35375,1.70243,-4.91088e-44,3.85688e-46
-2.35375,1.71998,5.32903e-44,-4.29536e-46
-2.35375,1.73753,-6.0433e-44,4.93738e-46
-2.35375,1.75508,6.46804e-44,-5.40513e-46
-2.35375,1.77263,-7.13488e-44,6.02519e-46
-2.35375,1.79018,7.45565e-44,-6.40937e-46
-2.35375,1.80773,-7.95342e-44,6.88335e-46
-2.35375,1.82528,8.04233e-44,-7.05158e-46
-2.35375,1.84283,-8.23968e-44,7.24271e-46
-2.35375,1.86038,7.96611e-44,-7.05588e-46
-2.35375,1.87794,-7.73634e-44,6.82704e-46
-2.35375,1.89549,6.9835e-44,-6.1541e-46
-2.35375,1.91304,-6.22597e-44,5.38848e-46
-2.35375,1.93059,4.91927e-44,-4.13583e-46
-2.35375,1.94814,-3.5956e-44,2.77646e-46
-2.35375,1.96569,1.74564e-44,-9.36683e-47
-2.35375,1.98324,7.37928e-46,-9.59111e-47
-2.35375,2.00079,-2.32649e-44,3.25308e-46
-2.35375,2.01834,4.42621e-44,-5.46765e-46
-2.35375,2.03589,-6.79046e-44,7.91332e-46
-2.35375,2.05344,8.81148e-44,-1.00644e-45
-2.35375,2.07099,-1.08743e-43,1.22165e-45
-2.35375,2.08854,1.23723e-43,-1.3818e-45
-2.35375,2.1061,-1.36848e-43,1.51824e-45
-2.35375,2.12365,1.42391e-43,-1.57653e-45
-2.35375,2.1412,-1.44406e-43,1.59377e-45
-2.35375,2.15875,1.37818e-43,-1.51949e-45
-2.35375,2.1763,-1.27188e-43,1.39974e-45
-2.35375,2.19385,1.08287e-43,-1.18978e-45
-2.35375,2.2114,-8.62552e-44,9.46053e-46
-2.35375,2.22895,5.77197e-44,-6.28959e-46
-2.35375,2.2465,-2.82563e-44,3.04726e-46
-2.35375,2.26405,-4.80501e-45,6.42722e-47
-2.35375,2.2816,3.58374e-44,-4.03512e-46
-2.35375,2.29915,-6.68046e-44,7.55391e-46
-2.35375,2.31671,9.37146e-44,-1.03259e-45
-2.35375,2.33426,-1.10231e-43,1.31722e-45
-2.35375,2.35181,1.99206e-43,-1.34027e-45
-2.35375,2.36936,-8.23357e-43,2.97003e-45
-2.35375,2.38691,6.29829e-42,-1.41936e-44
-2.35375,2.40446,-3.23325e-41,1.16188e-43
-2.35375,2.42201,1.58326e-40,-5.79409e-43
-2.35375,2.43956,-5.84553e-40,2.84685e-42
-2.35375,2.45711,2.17615e-39,-1.01985e-41
-2.35375,2.47466,-6.25127e-39,3.82582e-41
-2.35375,2.49221,2.01739e-38,-1.05744e-40
-2.35375,2.50976,-4.47913e-38,3.50135e-40
-2.35375,2.52731,1.46307e-37,-7.2206e-40
-2.35375,2.54487,-2.01716e-37,2.56062e-39
-2.35375,2.56242,1.0049e-36,-2.77161e-39
-2.35375,2.57997,1.34336e-37,1.86119e-38
-2.35375,2.59752,8.73043e-36,1.17406e-38
-2.35375,2.61507,1.94817e-35,1.78827e-37
-2.35375,2.63262,1.09867e-34,4.74209e-37
-2.35375,2.65017,3.92924e-34,2.4092e-36
-2.35375,2.66772,1.698e-33,8.97255e-36
-2.35375,2.68527,6.76174e-33,3.80432e-35
-2.35375,2.70282,2.78245e-32,1.5266e-34
-2.35375,2.72037,1.13005e-31,6.26107e-34
-2.35375,2.73792,4.61156e-31,2.54567e-33
-2.35375,2.75548,1.87819e-30,1.03819e-32
-2.35375,2.77303,7.65305e-30,4.2283e-32
-2.35375,2.79058,3.11703e-29,1.72243e-31
-2.35375,2.80813,1.26934e-28,7.01381e-31
-2.35375,2.82568,5.16749e-28,2.85538e-30
-2.35375,2.84323,2.10302e-27,1.16205e-29
-2.35375,2.86078,8.55536e-27,4.72739e-29
-2.35375,2.87833,3.47883e-26,1.92228e-28
-2.35375,2.89588,1.41379e-25,7.81211e-28
-2.35375,2.91343,5.74172e-25,3.17267e-27
-2.35375,2.93098,2.32987e-24,1.2874e-26
-2.35375,2.94853,9.44409e-24,5.21847e-26
-2.35375,2.96608,3.82291e-23,2.1124e-25
-2.35375,2.98364,1.54471e-22,8.53549e-25
-2.35375,3.00119,6.22645e-22,3.44051e-24
-2.35375,3.01874,2.50123e-21,1.38209e-23
-2.35375,3.03629,9.99775e-21,5.5244e-23
-2.35375,3.05384,3.96551e-20,2.1912e-22
-2.35375,3.07139,1.55273e-19,8.57983e-22
-2.35375,3.08894,5.93501e-19,3.27948e-21
-2.35375,3.10649,2.14944e-18,1.18771e-20
-2.35375,3.12404,6.5592e-18,3.62438e-20
-2.35375,3.14159,6.83746e-154,0
36.6958,0,0,0
36.6958,0.0175508,9.02127e-11,5.0868e-13
36.6958,0.0351016,2.95626e-11,1.66694e-13
36.6958,0.0526524,8.16279e-12,4.60273e-14
36.6958,0.0702032,2.13556e-12,1.20417e-14
36.6958,0.087754,5.45402e-13,3.07534e-15
36.6958,0.105305,1.37505e-13,7.75347e-16
36.6958,0.122856,3.4401e-14,1.93976e-16
36.6958,0.140406,8.56362e-15,4.82874e-17
36.6958,0.157957,2.12453e-15,1.19795e-17
36.6958,0.175508,5.25788e-16,2.96475e-18
36.6958,0.193059,1.2989e-16,7.32409e-19
36.6958,0.21061,3.20442e-17,1.80687e-19
36.6958,0.22816,7.89695e-18,4.45283e-20
36.6958,0.245711,1.94448e-18,1.09643e-20
36.6958,0.263262,4.78465e-19,2.69791e-21
36.6958,0.280813,1.17667e-19,6.63486e-22
36.6958,0.298364,2.89241e-20,1.63094e-22
36.6958,0.315914,7.10718e-21,4.0075e-23
36.6958,0.333465,1.74578e-21,9.84397e-24
36.6958,0.351016,4.28714e-22,2.41732e-24
36.6958,0.368567,1.0525e-22,5.93513e-25
36.6958,0.386118,2.58371e-23,1.45656e-25
36.6958,0.403668,6.33896e-24,3.57646e-26
36.6958,0.421219,1.55668e-24,8.76315e-27
36.6958,0.43877,3.81072e-25,2.15824e-27
36.6958,0.456321,9.40288e-26,5.24159e-28
36.6958,0.473872,2.27191e-26,1.31813e-28
36.6958,0.491422,5.78124e-27,3.04026e-29
36.6958,0.508973,1.29518e-27,8.556e-30
36.6958,0.526524,3.86813e-28,1.49366e-30
36.6958,0.544075,5.72604e-29,6.84854e-31
36.6958,0.561626,3.36292e-29,7.14255e-33
36.6958,0.579176,-1.5314e-30,7.91879e-32
36.6958,0.596727,4.28234e-30,-1.6069e-32
36.6958,0.614278,-1.06165e-30,1.14655e-32
36.6958,0.631829,6.46728e-31,-3.4954e-33
36.6958,0.649379,-2.08825e-31,1.56259e-33
36.6958,0.66693,8.82613e-32,-4.80515e-34
36.6958,0.684481,-2.76035e-32,1.66223e-34
36.6958,0.702032,9.24955e-33,-4.42558e-35
36.6958,0.719583,-2.47138e-33,1.19118e-35
36.6958,0.737133,6.47756e-34,-2.40187e-36
36.6958,0.754684,-1.30556e-34,4.58791e-37
36.6958,0.772235,2.41932e-35,-5.13162e-38
36.6958,0.789786,-2.79606e-36,6.51865e-39
36.6958,0.807337,4.10211e-37,-1.14172e-39
36.6958,0.824887,-1.60731e-37,1.93271e-39
36.6958,0.842438,2.00053e-37,-2.11416e-39
36.6958,0.859989,-2.17503e-37,2.49529e-39
36.6958,0.87754,2.36027e-37,-2.76996e-39
36.6958,0.895091,-2.52662e-37,3.07914e-39
36.6958,0.912641,2.60602e-37,-3.24019e-39
36.6958,0.930192,-2.62092e-37,3.34963e-39
36.6958,0.947743,2.49477e-37,-3.25727e-39
36.6958,0.965294,-2.27009e-37,3.05963e-39
36.6958,0.982845,1.88417e-37,-2.64224e-39
36.6958,1.0004,-1.40422e-37,2.11658e-39
36.6958,1.01795,7.86768e-38,-1.40513e-39
36.6958,1.0355,-1.21955e-38,6.35118e-40
36.6958,1.05305,-6.19451e-38,2.4276e-40
36.6958,1.0706,1.33398e-37,-1.09551e-39
36.6958,1.08815,-2.048e-37,1.95958e-39
36.6958,1.1057,2.65758e-37,-2.7103e-39
36.6958,1.12325,-3.19816e-37,3.38656e-39
36.6958,1.1408,3.57602e-37,-3.88335e-39
