rStar,theta,re,im
0,0,0,0
0,0.0175508,8.29488e-23,0
0,0.0351016,1.65872e-22,0
0,0.0526524,2.48744e-22,0
0,0.0702032,3.3154e-22,0
0,0.087754,4.14233e-22,0
0,0.105305,4.96799e-22,0
0,0.122856,5.79212e-22,0
0,0.140406,6.61446e-22,0
0,0.157957,7.43477e-22,0
0,0.175508,8.25279e-22,0
0,0.193059,9.06826e-22,0
0,0.21061,9.88094e-22,0
0,0.22816,1.06906e-21,0
0,0.245711,1.14969e-21,0
0,0.263262,1.22997e-21,0
0,0.280813,1.30987e-21,0
0,0.298364,1.38937e-21,0
0,0.315914,1.46844e-21,0
0,0.333465,1.54706e-21,0
0,0.351016,1.6252e-21,0
0,0.368567,1.70284e-21,0
0,0.386118,1.77996e-21,0
0,0.403668,1.85653e-21,0
0,0.421219,1.93252e-21,0
0,0.43877,2.00792e-21,0
0,0.456321,2.08271e-21,0
0,0.473872,2.15685e-21,0
0,0.491422,2.23032e-21,0
0,0.508973,2.30311e-21,0
0,0.526524,2.37519e-21,0
0,0.544075,2.44654e-21,0
0,0.561626,2.51713e-21,0
0,0.579176,2.58695e-21,0
0,0.596727,2.65598e-21,0
0,0.614278,2.72418e-21,0
0,0.631829,2.79155e-21,0
0,0.649379,2.85805e-21,0
0,0.66693,2.92368e-21,0
0,0.684481,2.9884e-21,0
0,0.702032,3.05221e-21,0
0,0.719583,3.11507e-21,0
0,0.737133,3.17697e-21,0
0,0.754684,3.2379e-21,0
0,0.772235,3.29783e-21,0
0,0.789786,3.35674e-21,0
0,0.807337,3.41462e-21,0
0,0.824887,3.47145e-21,0
0,0.842438,3.52721e-21,0
0,0.859989,3.58188e-21,0
0,0.87754,3.63544e-21,0
0,0.895091,3.68789e-21,0
0,0.912641,3.7392e-21,0
0,0.930192,3.78937e-21,0
0,0.947743,3.83836e-21,0
0,0.965294,3.88617e-21,0
0,0.982845,3.93278e-21,0
0,1.0004,3.97819e-21,0
0,1.01795,4.02236e-21,0
0,1.0355,4.0653e-21,0
0,1.05305,4.10699e-21,0
0,1.0706,4.14741e-21,0
0,1.08815,4.18655e-21,0
0,1.1057,4.22441e-21,0
0,1.12325,4.26096e-21,0
0,1.1408,4.2962e-21,0
0,1.15835,4.33012e-21,0
0,1.1759,4.3627e-21,0
0,1.19345,4.39394e-21,0
0,1.211,4.42382e-21,0
0,1.22856,4.45235e-21,0
0,1.24611,4.4795e-21,0
0,1.26366,4.50527e-21,0
0,1.28121,4.52965e-21,0
0,1.29876,4.55264e-21,0
0,1.31631,4.57423e-21,0
0,1.33386,4.59441e-21,0
0,1.35141,4.61317e-21,0
0,1.36896,4.63051e-21,0
0,1.38651,4.64643e-21,0
0,1.40406,4.66091e-21,0
0,1.42161,4.67396e-21,0
0,1.43917,4.68557e-21,0
0,1.45672,4.69573e-21,0
0,1.47427,4.70445e-21,0
0,1.49182,4.71172e-21,0
0,1.50937,4.71754e-21,0
0,1.52692,4.72191e-21,0
0,1.54447,4.72482e-21,0
0,1.56202,4.72627e-21,0
0,1.57957,4.72627e-21,0
0,1.59712,4.72482e-21,0
0,1.61467,4.72191e-21,0
0,1.63222,4.71754e-21,0
0,1.64977,4.71172e-21,0
0,1.66733,4.70445e-21,0
0,1.68488,4.69573e-21,0
0,1.70243,4.68557e-21,0
0,1.71998,4.67396e-21,0
0,1.73753,4.66091e-21,0
0,1.75508,4.64643e-21,0
0,1.77263,4.63051e-21,0
0,1.79018,4.61317e-21,0
0,1.80773,4.59441e-21,0
0,1.82528,4.57423e-21,0
0,1.84283,4.55264e-21,0
0,1.86038,4.52965e-21,0
0,1.87794,4.50527e-21,0
0,1.89549,4.4795e-21,0
0,1.91304,4.45235e-21,0
0,1.93059,4.42382e-21,0
0,1.94814,4.39394e-21,0
0,1.96569,4.3627e-21,0
0,1.98324,4.33012e-21,0
0,2.00079,4.2962e-21,0
0,2.01834,4.26096e-21,0
0,2.03589,4.22441e-21,0
0,2.05344,4.18655e-21,0
0,2.07099,4.14741e-21,0
0,2.08854,4.10699e-21,0
0,2.1061,4.0653e-21,0
0,2.12365,4.02236e-21,0
0,2.1412,3.97819e-21,0
0,2.15875,3.93278e-21,0
0,2.1763,3.88617e-21,0
0,2.19385,3.83836e-21,0
0,2.2114,3.78937e-21,0
0,2.22895,3.7392e-21,0
0,2.2465,3.68789e-21,0
0,2.26405,3.63544e-21,0
0,2.2816,3.58188e-21,0
0,2.29915,3.52721e-21,0
0,2.31671,3.47145e-21,0
0,2.33426,3.41462e-21,0
