rStar,theta,re,im
-2.35375,0.526524,1.28348e+237,5.72581e+235
-2.35375,0.544075,3.14707e+236,1.40396e+235
-2.35375,0.561626,7.71605e+235,3.44226e+234
-2.35375,0.579176,1.89173e+235,8.43931e+233
-2.35375,0.596727,4.63764e+234,2.06893e+233
-2.35375,0.614278,1.13688e+234,5.07182e+232
-2.35375,0.631829,2.78684e+233,1.24326e+232
-2.35375,0.649379,6.83112e+232,3.04748e+231
-2.35375,0.66693,1.67438e+232,7.46969e+230
-2.35375,0.684481,4.10394e+231,1.83084e+230
-2.35375,0.702032,1.00585e+231,4.48727e+229
-2.35375,0.719583,2.4652e+230,1.09977e+229
-2.35375,0.737133,6.04171e+229,2.69531e+228
-2.35375,0.754684,1.48066e+229,6.60547e+227
-2.35375,0.772235,3.62861e+228,1.61878e+227
-2.35375,0.789786,8.89231e+227,3.96701e+226
-2.35375,0.807337,2.17912e+227,9.7214e+225
-2.35375,0.824887,5.33995e+226,2.38224e+225
-2.35375,0.842438,1.30854e+226,5.8376e+224
-2.35375,0.859989,3.20647e+225,1.43046e+224
-2.35375,0.87754,7.85708e+224,3.50518e+223
-2.35375,0.895091,1.92526e+224,8.5889e+222
-2.35375,0.912641,4.71748e+223,2.10455e+222
-2.35375,0.930192,1.15591e+223,5.15673e+221
-2.35375,0.947743,2.83228e+222,1.26353e+221
-2.35375,0.965294,6.9397e+221,3.09592e+220
-2.35375,0.982845,1.70036e+221,7.58559e+219
-2.35375,1.0004,4.16616e+220,1.8586e+219
-2.35375,1.01795,1.02077e+220,4.55382e+218
-2.35375,1.0355,2.50101e+219,1.11574e+218
-2.35375,1.05305,6.12771e+218,2.73367e+217
-2.35375,1.0706,1.50134e+218,6.69771e+216
-2.35375,1.08815,3.67836e+217,1.64098e+216
-2.35375,1.1057,9.01213e+216,4.02046e+215
-2.35375,1.12325,2.20799e+216,9.85023e+214
-2.35375,1.1408,5.4096e+215,2.41332e+214
-2.35375,1.15835,1.32535e+215,5.91261e+213
-2.35375,1.1759,3.24708e+214,1.44858e+213
-2.35375,1.19345,7.95523e+213,3.54896e+212
-2.35375,1.211,1.949e+213,8.6948e+211
-2.35375,1.22856,4.77493e+212,2.13018e+211
-2.35375,1.24611,1.16982e+212,5.21879e+210
-2.35375,1.26366,2.86598e+211,1.27856e+210
-2.35375,1.28121,7.0214e+210,3.13236e+209
-2.35375,1.29876,1.72018e+210,7.67399e+208
-2.35375,1.31631,4.21425e+209,1.88005e+208
-2.35375,1.33386,1.03244e+209,4.60591e+207
-2.35375,1.35141,2.52937e+208,1.12839e+207
-2.35375,1.36896,6.19664e+207,2.76443e+206
-2.35375,1.38651,1.5181e+207,6.77248e+205
-2.35375,1.40406,3.71913e+206,1.65917e+205
-2.35375,1.42161,9.11136e+205,4.06473e+204
-2.35375,1.43917,2.23215e+205,9.95801e+203
-2.35375,1.45672,5.46845e+204,2.43957e+203
-2.35375,1.47427,1.33969e+204,5.97657e+202
-2.35375,1.49182,3.28204e+203,1.46417e+202
-2.35375,1.50937,8.0409e+202,3.58718e+201
-2.35375,1.52692,1.97153e+202,8.79533e+200
-2.35375,1.54447,4.89664e+201,2.18447e+200
-2.35375,1.56202,1.47184e+201,6.56613e+199
-2.35375,1.57957,1.47184e+201,6.56614e+199
-2.35375,1.59712,4.89663e+201,2.18447e+200
-2.35375,1.61467,1.97153e+202,8.79533e+200
-2.35375,1.63222,8.0409e+202,3.58718e+201
-2.35375,1.64977,3.28204e+203,1.46418e+202
-2.35375,1.66733,1.33969e+204,5.97657e+202
-2.35375,1.68488,5.46845e+204,2.43957e+203
-2.35375,1.70243,2.23215e+205,9.95801e+203
-2.35375,1.71998,9.11136e+205,4.06473e+204
-2.35375,1.73753,3.71913e+206,1.65917e+205
-2.35375,1.75508,1.5181e+207,6.77249e+205
-2.35375,1.77263,6.19664e+207,2.76443e+206
-2.35375,1.79018,2.52937e+208,1.12839e+207
-2.35375,1.80773,1.03244e+209,4.60591e+207
-2.35375,1.82528,4.21425e+209,1.88005e+208
-2.35375,1.84283,1.72018e+210,7.67399e+208
-2.35375,1.86038,7.0214e+210,3.13236e+209
-2.35375,1.87794,2.86598e+211,1.27856e+210
-2.35375,1.89549,1.16982e+212,5.21879e+210
-2.35375,1.91304,4.77493e+212,2.13018e+211
-2.35375,1.93059,1.949e+213,8.6948e+211
-2.35375,1.94814,7.95523e+213,3.54896e+212
-2.35375,1.96569,3.24708e+214,1.44858e+213
-2.35375,1.98324,1.32535e+215,5.91261e+213
-2.35375,2.00079,5.4096e+215,2.41332e+214
-2.35375,2.01834,2.20799e+216,9.85023e+214
-2.35375,2.03589,9.01213e+216,4.02046e+215
-2.35375,2.05344,3.67836e+217,1.64098e+216
-2.35375,2.07099,1.50134e+218,6.69771e+216
-2.35375,2.08854,6.12771e+218,2.73367e+217
-2.35375,2.1061,2.50101e+219,1.11574e+218
-2.35375,2.12365,1.02077e+220,4.55382e+218
-2.35375,2.1412,4.16616e+220,1.8586e+219
-2.35375,2.15875,1.70036e+221,7.58559e+219
-2.35375,2.1763,6.9397e+221,3.09592e+220
-2.35375,2.19385,2.83228e+222,1.26353e+221
-2.35375,2.2114,1.15591e+223,5.15673e+221
-2.35375,2.22895,4.71748e+223,2.10455e+222
-2.35375,2.2465,1.92526e+224,8.5889e+222
-2.35375,2.26405,7.85708e+224,3.50518e+223
-2.35375,2.2816,3.20647e+225,1.43046e+224
-2.35375,2.29915,1.30854e+226,5.8376e+224
-2.35375,2.31671,5.33995e+226,2.38224e+225
-2.35375,2.33426,2.17912e+227,9.7214e+225
-2.35375,2.35181,8.89231e+227,3.96701e+226
-2.35375,2.36936,3.62861e+228,1.61878e+227
-2.35375,2.38691,1.48066e+229,6.60547e+227
-2.35375,2.40446,6.04171e+229,2.69531e+228
-2.35375,2.42201,2.4652e+230,1.09977e+229
-2.35375,2.43956,1.00585e+231,4.48727e+229
-2.35375,2.45711,4.10394e+231,1.83084e+230
-2.35375,2.47466,1.67438e+232,7.46969e+230
-2.35375,2.49221,6.83112e+232,3.04748e+231
-2.35375,2.50976,2.78684e+233,1.24326e+232
-2.35375,2.52731,1.13688e+234,5.07182e+232
-2.35375,2.54487,4.63764e+234,2.06893e+233
-2.35375,2.56242,1.89173e+235,8.43931e+233
-2.35375,2.57997,7.71605e+235,3.44226e+234
-2.35375,2.59752,3.14707e+236,1.40396e+235
-2.35375,2.61507,1.28348e+237,5.72581e+235
-2.35375,2.63262,5.23406e+237,2.335e+236
-2.35375,2.65017,2.1343e+238,9.52145e+236
-2.35375,2.66772,8.70225e+238,3.88222e+237
-2.35375,2.68527,3.54785e+239,1.58276e+238
-2.35375,2.70282,1.44627e+240,6.45208e+238
-2.35375,2.72037,5.89498e+240,2.62985e+239
-2.35375,2.73792,2.40244e+241,1.07177e+240
-2.35375,2.75548,9.78934e+241,4.36719e+240
-2.35375,2.77303,3.98818e+242,1.7792e+241
-2.35375,2.79058,1.62445e+243,7.24695e+241
-2.35375,2.80813,6.61505e+243,2.95109e+242
-2.35375,2.82568,2.69302e+244,1.2014e+243
-2.35375,2.84323,1.09598e+245,4.88934e+243
-2.35375,2.86078,4.45859e+245,1.98905e+244
-2.35375,2.87833,1.81297e+246,8.08799e+244
-2.35375,2.89588,7.36791e+246,3.28695e+245
-2.35375,2.91343,2.99227e+247,1.3349e+246
-2.35375,2.93098,1.2142e+248,5.41676e+246
-2.35375,2.94853,4.92174e+248,2.19567e+247
-2.35375,2.96608,1.99229e+249,8.88794e+247
-2.35375,2.98364,8.05016e+249,3.59131e+248
-2.35375,3.00119,3.24488e+250,1.4476e+249
-2.35375,3.01874,1.30351e+251,5.81516e+249
-2.35375,3.03629,5.21028e+251,2.32439e+250
-2.35375,3.05384,2.06661e+252,9.21949e+250
-2.35375,3.07139,8.09198e+252,3.60997e+251
-2.35375,3.08894,3.093e+253,1.37984e+252
-2.35375,3.10649,1.12017e+254,4.99728e+252
-2.35375,3.12404,3.41829e+254,1.52496e+253
-2.35375,3.14159,0,0
36.6958,0,0,0
36.6958,0.0175508,5.25276e+261,2.34866e+260
36.6958,0.0351016,1.72132e+261,7.69653e+259
36.6958,0.0526524,4.75289e+260,2.12516e+259
36.6958,0.0702032,1.24346e+260,5.55988e+258
36.6958,0.087754,3.17568e+259,1.41994e+258
36.6958,0.105305,8.00643e+258,3.57991e+257
36.6958,0.122856,2.00304e+258,8.95619e+256
36.6958,0.140406,4.98628e+257,2.22951e+256
36.6958,0.157957,1.23704e+257,5.53115e+255
36.6958,0.175508,3.06147e+256,1.36887e+255
36.6958,0.193059,7.56304e+255,3.38166e+254
36.6958,0.21061,1.86582e+255,8.3426e+253
36.6958,0.22816,4.5981e+254,2.05594e+253
36.6958,0.245711,1.1322e+254,5.06238e+252
36.6958,0.263262,2.78593e+253,1.24567e+252
36.6958,0.280813,6.85133e+252,3.06343e+251
36.6958,0.298364,1.68415e+252,7.5303e+250
36.6958,0.315914,4.13825e+251,1.85033e+250
36.6958,0.333465,1.01651e+251,4.5451e+249
36.6958,0.351016,2.49623e+250,1.11614e+249
36.6958,0.368567,6.12848e+249,2.74022e+248
36.6958,0.386118,1.50429e+249,6.72611e+247
36.6958,0.403668,3.69173e+248,1.65068e+247
36.6958,0.421219,9.05858e+247,4.05035e+246
36.6958,0.43877,2.22243e+247,9.93714e+245
36.6958,0.456321,5.45184e+246,2.43768e+245
36.6958,0.473872,1.33724e+246,5.97919e+244
36.6958,0.491422,3.27969e+245,1.46644e+244
36.6958,0.508973,8.04297e+244,3.59625e+243
36.6958,0.526524,1.97227e+244,8.81858e+242
36.6958,0.544075,4.83597e+243,2.1623e+242
36.6958,0.561626,1.18569e+243,5.30158e+241
36.6958,0.579176,2.90694e+242,1.29978e+241
36.6958,0.596727,7.12648e+241,3.18646e+240
36.6958,0.614278,1.747e+241,7.81134e+239
36.6958,0.631829,4.28243e+240,1.9148e+239
36.6958,0.649379,1.04971e+240,4.69356e+238
36.6958,0.66693,2.57295e+239,1.15044e+238
36.6958,0.684481,6.30636e+238,2.81976e+237
36.6958,0.702032,1.54565e+238,6.91105e+236
36.6958,0.719583,3.78818e+237,1.6938e+236
36.6958,0.737133,9.28405e+236,4.15117e+235
36.6958,0.754684,2.27527e+236,1.01734e+235
