r,real,imag
1.5,1.93013e-186,9.119e-187
1.74372,-6.9179e+32,6.98028e+32
1.98744,4.89658e+34,-8.90479e+34
2.23116,-1.1897e+36,5.07428e+36
2.47487,-4.55978e+36,-1.41336e+38
2.71859,5.91794e+38,2.06764e+39
2.96231,-9.26678e+39,-1.6923e+40
3.20603,6.79003e+40,8.24728e+40
3.44975,-2.81417e+41,-2.56703e+41
3.69347,7.2854e+41,5.5546e+41
3.93719,-1.29137e+42,-9.21433e+41
4.1809,1.8042e+42,1.30767e+42
4.42462,-2.24611e+42,-1.71988e+42
4.66834,2.59707e+42,2.1596e+42
4.91206,-2.83874e+42,-2.62331e+42
5.15578,2.95547e+42,3.10187e+42
5.3995,-2.93547e+42,-3.58035e+42
5.64322,2.77212e+42,4.03829e+42
5.88693,-2.46535e+42,-4.45071e+42
6.13065,2.02292e+42,4.78962e+42
6.37437,-1.46121e+42,-5.02628e+42
6.61809,8.0516e+41,5.13397e+42
6.86181,-8.63976e+40,-5.09097e+42
7.10553,-6.62731e+41,4.88313e+42
7.34925,1.42618e+42,-4.50419e+42
7.59296,-2.25497e+42,3.94767e+42
7.83668,3.42722e+42,-3.16771e+42
8.0804,-5.96828e+42,1.92145e+42
8.32412,1.33487e+43,8.45821e+41
8.56784,-3.69565e+43,-9.3846e+42
8.81156,1.13243e+44,4.03678e+43
9.05528,-3.54985e+44,-1.58552e+44
9.29899,1.09301e+45,6.14495e+44
9.54271,-3.21317e+45,-2.3762e+45
9.78643,8.68018e+45,9.182e+45
10.0302,-1.97327e+46,-3.54738e+46
10.2739,2.56873e+46,1.37098e+47
10.5176,8.32054e+46,-5.30351e+47
10.7613,-9.6804e+47,2.0546e+48
11.005,5.98296e+48,-7.97402e+48
11.2487,-3.07098e+49,3.10058e+49
11.4925,1.43682e+50,-1.20746e+50
11.7362,-6.35265e+50,4.70541e+50
11.9799,2.70318e+51,-1.83233e+51
12.2236,-1.11932e+52,7.116e+51
12.4673,4.54471e+52,-2.74927e+52
12.7111,-1.81995e+53,1.05358e+53
12.9548,7.22245e+53,-3.99135e+53
13.1985,-2.85181e+54,1.48906e+54
13.4422,1.12408e+55,-5.44674e+54
13.6859,-4.43426e+55,1.94327e+55
13.9296,1.75356e+56,-6.71848e+55
14.1734,-6.95747e+56,2.23124e+56
14.4171,2.76954e+57,-7.02644e+56
14.6608,-1.10535e+58,2.05326e+57
14.9045,4.41815e+58,-5.33398e+57
15.1482,-1.76628e+59,1.09963e+58
15.392,7.05312e+59,-9.44888e+57
15.6357,-2.8099e+60,-6.61607e+58
15.8794,1.11573e+61,5.24791e+59
16.1231,-4.41203e+61,-2.48103e+60
16.3668,1.73639e+62,8.82981e+60
16.6106,-6.79692e+62,-2.10524e+61
16.8543,2.64449e+63,-8.3796e+60
17.098,-1.02184e+64,5.25656e+62
17.3417,3.91754e+64,-4.46881e+63
17.5854,-1.4885e+65,2.85615e+64
17.8291,5.5987e+65,-1.60388e+65
18.0729,-2.08232e+66,8.33633e+65
18.3166,7.65142e+66,-4.10755e+66
18.5603,-2.776e+67,1.94337e+67
18.804,9.9419e+67,-8.8946e+67
19.0477,-3.51448e+68,3.95625e+68
19.2915,1.22596e+69,-1.71524e+69
19.5352,-4.21501e+69,7.26403e+69
19.7789,1.42373e+70,-3.01017e+70
20.0226,-4.69171e+70,1.22255e+71
20.2663,1.48792e+71,-4.87446e+71
20.5101,-4.42093e+71,1.9113e+72
20.7538,1.1584e+72,-7.38279e+72
20.9975,-2.19712e+72,2.81344e+73
21.2412,-8.55513e+71,-1.05861e+74
21.4849,4.08499e+73,3.93177e+74
21.7286,-3.04622e+74,-1.43883e+75
21.9724,1.7331e+75,5.16904e+75
22.2161,-8.73145e+75,-1.81264e+76
22.4598,4.09004e+76,6.15611e+76
22.7035,-1.82076e+77,-2.00387e+77
22.9472,7.78953e+77,6.16409e+77
23.191,-3.22094e+78,-1.75453e+78
23.4347,1.29033e+79,4.45193e+78
23.6784,-5.00899e+79,-9.22273e+78
23.9221,1.88195e+80,1.07038e+79
24.1658,-6.83057e+80,2.82863e+79
24.4095,2.39097e+81,-2.78111e+80
24.6533,-8.07155e+81,1.41349e+81
24.897,2.63877e+82,-5.99959e+81
25.1407,-8.4589e+82,2.40682e+82
25.3844,2.72887e+83,-9.72009e+82
25.6281,-9.22161e+83,4.05165e+83
25.8719,3.3912e+84,-1.72761e+84
26.1156,-1.36694e+85,7.34268e+84
26.3593,5.85463e+85,-3.03572e+85
26.603,-2.54904e+86,1.20229e+86
26.8467,1.09046e+87,-4.52948e+86
27.0905,-4.49705e+87,1.62307e+87
27.3342,1.77148e+88,-5.56812e+87
27.5779,-6.63648e+88,1.85117e+88
27.8216,2.35859e+89,-6.0791e+88
28.0653,-7.9208e+89,2.02397e+89
28.309,2.49337e+90,-6.96202e+89
28.5528,-7.25653e+90,2.48604e+90
28.7965,1.89107e+91,-9.18604e+90
29.0402,-4.04223e+91,3.42949e+91
29.2839,4.94668e+91,-1.27391e+92
29.5276,1.33523e+92,4.77361e+92
29.7714,-1.43792e+93,-1.77012e+93
30.0151,7.6642e+93,6.55994e+93
30.2588,-3.38676e+94,-2.52598e+94
30.5025,1.3671e+95,9.31605e+94
30.7462,-4.92093e+95,-3.42189e+95
30.9899,1.76965e+96,1.2926e+96
31.2337,-6.09665e+96,-4.05696e+96
31.4774,1.80073e+97,1.38284e+97
31.7211,-6.55582e+97,-4.53805e+97
31.9648,1.80942e+98,7.82391e+97
32.2085,-4.30675e+98,-4.05635e+98
32.4523,2.43317e+99,4.19833e+98
32.696,-7.3229e+98,1.84224e+99
32.9397,1.85983e+100,2.06046e+100
33.1834,-8.13775e+100,1.14002e+101
33.4271,-3.9267e+101,2.10197e+101
33.6709,-3.02627e+102,-2.53321e+101
33.9146,-8.80098e+102,-1.02162e+103
34.1583,-1.40522e+103,-6.33474e+103
34.402,1.298e+104,-2.98254e+104
34.6457,1.23599e+105,-8.57217e+104
34.8894,7.16196e+105,-5.34403e+104
35.1332,3.00018e+106,1.44792e+106
35.3769,8.93887e+106,1.23166e+107
35.6206,1.04014e+107,6.79853e+107
35.8643,-9.17035e+107,2.90177e+108
36.108,-8.96559e+108,9.75735e+108
36.3518,-5.20179e+109,2.23561e+109
36.5955,-2.37225e+110,3.44009e+107
36.8392,-9.02512e+110,-3.69274e+110
37.0829,-2.83629e+111,-2.71839e+111
37.3266,-6.66359e+111,-1.4014e+112
37.5704,-5.57771e+111,-5.98243e+112
37.8141,5.57084e+112,-2.21151e+113
38.0578,4.62522e+113,-7.11719e+113
